host, domain, type, ttl, content, content2, content3, content4
pielgrzymka.zhp.pl, zhp.pl, NS, 3600, dns.smarthost.pl, dns2.smarthost.pl, dns3.smarthost.pl
autodiscover.zhp.pl, zhp.pl, CNAME, 3600, autodiscover.outlook.com
msoid.zhp.pl, zhp.pl, CNAME, 3600, clientconfig.microsoftonline-p.net
sip.zhp.pl, zhp.pl, CNAME, 3600, sipdir.online.lync.com
lyncdiscover.zhp.pl, zhp.pl, CNAME, 3600, webdir.online.lync.com
_sip._tls.zhp.pl, zhp.pl, SRV, 3600, 100 1 443 sipdir.online.lync.com
_sipfederationtls._tcp.zhp.pl, zhp.pl, SRV, 3600, 100 1 5061 sipfed.online.lync.com
ckr.zhp.pl, zhp.pl, TXT, 3600, "v=spf1 include:spf.protection.outlook.com -all"
*.lubelska.zhp.pl, zhp.pl, A, 3600, 193.218.152.52
tczew.zhp.pl, zhp.pl, NS, 3600, ns1.hekko.net.pl, ns2.hekko.net.pl
nazajecia.zhp.pl, zhp.pl, NS, 3600, ns1.atthost.pl, ns2.atthost.pl
google._domainkey.stoleczna.zhp.pl, zhp.pl, TXT, 3600, "v=DKIM1; k=rsa; p=MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQCzJSZGiRfdJXWTpOLbbTkQQHqYIVxx1SjM+3KiINhVuyHHA8xGhSK3tNadkyHCT4WvelzXrWxz02XNuL02lX/q8KuP+J8YyEHQPxIpy9c+z+aBfqIZNwchjubkozljXlOFvnzFlaz0pEGdQ9NTh/yqSP7drnafoYY4PtVTXq5cNwIDAQAB"
ostrowiec.zhp.pl, zhp.pl, NS, 3600, dns1.onecik.pl, dns2.onecik.pl
kielcemiasto.zhp.pl, zhp.pl, NS, 3600, ns1.atthost.pl, ns2.atthost.pl
